,lambda=0.0000
2014-07-29,1.5153296308190476
2014-07-30,1.5177875615052632
2014-07-31,1.5358507856277834
2014-08-01,1.5232321291371598
2014-08-04,1.5482119492202433
2014-08-05,1.5537172692495236
2014-08-06,1.5628693580455055
2014-08-07,1.5440752424266166
2014-08-08,1.5491069795116548
2014-08-11,1.5769845620481238
2014-08-12,1.5848461966772405
2014-08-13,1.58687723405231
2014-08-14,1.5780788480669625
2014-08-15,1.5926720761442903
2014-08-18,1.6136574974662636
2014-08-19,1.6173058387047172
2014-08-20,1.6206619359836894
2014-08-21,1.6136866140719088
2014-08-22,1.623609504172462
2014-08-25,1.6129407656029642
2014-08-26,1.5892039377823948
2014-08-27,1.5865916983743205
2014-08-28,1.5697050277773736
2014-08-29,1.584633938863696
2014-09-01,1.60422542068927
2014-09-02,1.6263893247071524
2014-09-03,1.6373446878551328
2014-09-04,1.653900784627958
2014-09-05,1.6601854181290832
2014-09-09,1.674808238578518
2014-09-10,1.6786571277406324
2014-09-11,1.6762825333574263
2014-09-12,1.6998102758748217
2014-09-15,1.718825458501014
2014-09-16,1.674112177976703
2014-09-17,1.6869986949114635
2014-09-18,1.703147981595347
2014-09-19,1.7120352176157863
2014-09-22,1.6884438082228277
2014-09-23,1.7070967492868736
2014-09-24,1.7324616462889575
2014-09-25,1.7251958981622946
2014-09-26,1.7350614566034193
2014-09-29,1.7607543944052022
2014-09-30,1.7754798919722976
2014-10-08,1.8048934596316526
2014-10-09,1.8111962421267895
2014-10-10,1.8079436671499167
2014-10-13,1.8086332556279567
2014-10-14,1.80045129084218
2014-10-15,1.805095195190681
2014-10-16,1.7746025044538443
2014-10-17,1.7555693314027876
2014-10-20,1.7779271881977412
2014-10-21,1.757431684099371
2014-10-22,1.737886123939885
2014-10-23,1.7107715899720404
2014-10-24,1.713770554125278
2014-10-27,1.723505342870611
2014-10-28,1.7660757861648357
2014-10-29,1.7950720363166741
2014-10-30,1.802437505510854
2014-10-31,1.8097963966524504
2014-11-03,1.8243269619687452
2014-11-04,1.8160375624461766
2014-11-05,1.8075942542455927
2014-11-06,1.815686582852512
2014-11-07,1.8071781975765242
2014-11-10,1.833830050714999
2014-11-11,1.7911690856447873
2014-11-12,1.8249717655267732
2014-11-13,1.8074434017866203
2014-11-14,1.8013866181661535
2014-11-17,1.8207018427117365
2014-11-18,1.8235528043307128
2014-11-19,1.8262028889652608
2014-11-20,1.8252263757482035
2014-11-21,1.842464649687067
2014-11-24,1.8733314828687377
2014-11-25,1.90321304513808
2014-11-26,1.9048914442157063
2014-11-27,1.9153214296962802
2014-11-28,1.9237181822647362
2014-12-01,1.9167369718682028
2014-12-02,1.9390413277963323
2014-12-03,1.9603120018919935
2014-12-04,1.9948877738925912
2014-12-05,1.9457414613773583
2014-12-08,1.9756497349272848
2014-12-09,1.9185966754551995
2014-12-10,1.991941391713851
2014-12-11,2.015685436773127
2014-12-12,2.0239807650497204
2014-12-15,2.0533055310927
2014-12-16,2.054291173217198
2014-12-17,2.0403535848384693
2014-12-18,2.0255598820646648
2014-12-19,2.017816878424259
2014-12-22,1.9633488960177443
2014-12-23,1.9266888818154435
2014-12-24,1.9437792158550098
2014-12-25,1.9813592905182982
2014-12-26,2.0098896822219574
2014-12-29,2.0083894142653116
2014-12-30,1.9785064627613362
2014-12-31,2.0027620701966122
2015-01-05,2.051294895379534
2015-01-06,2.0635809511090666
2015-01-07,2.0643739267821504
2015-01-08,2.0410386745094438
2015-01-09,2.0253215141370156
2015-01-12,1.9857171047773836
2015-01-13,2.012492134742796
2015-01-14,1.9999276342722643
2015-01-15,2.0257269523207087
2015-01-16,2.036966019332802
2015-01-19,1.9468163829793224
2015-01-20,2.006562477175763
2015-01-21,2.054593559416461
2015-01-22,2.084422952427687
2015-01-23,2.0771575361289223
2015-01-26,2.1238401398867945
2015-01-27,2.137496170752844
2015-01-28,2.1273330480184347
2015-01-29,2.106391636737348
2015-01-30,2.093966738458073
2015-02-02,2.0855104039689607
2015-02-03,2.1126632858590453
2015-02-04,2.1018064411394755
2015-02-05,2.0900997728618274
2015-02-06,2.049477927593772
2015-02-09,2.0341550349561413
2015-02-10,2.0613212310700972
2015-02-11,2.081638886398698
2015-02-12,2.1015549562023983
2015-02-13,2.138524696016999
2015-02-16,2.1792191371564105
2015-02-17,2.206739211356728
2015-02-25,2.211056668202997
2015-02-26,2.229014208002476
2015-02-27,2.24977905002294
2015-03-02,2.296043561926898
2015-03-03,2.2783189328514397
2015-03-04,2.314285586452893
2015-03-05,2.321707513130159
2015-03-06,2.3039570172754393
2015-03-09,2.326780808123993
2015-03-10,2.3486211407152133
2015-03-11,2.347274807426132
2015-03-12,2.352210918238905
2015-03-13,2.380308609740477
2015-03-16,2.4453286167439976
2015-03-17,2.4750168601785365
2015-03-18,2.5170769577063425
2015-03-19,2.529678540729631
2015-03-20,2.5454110538419483
2015-03-23,2.604440199532091
2015-03-24,2.6230736308211955
2015-03-25,2.6390062671968053
2015-03-26,2.637358713343684
2015-03-27,2.6836898617573586
2015-03-30,2.7437428152859136
2015-03-31,2.7341053399793083
2015-04-01,2.803438199801654
2015-04-02,2.8726374823805028
2015-04-03,2.928681000016065
2015-04-07,2.9979145784502914
2015-04-08,2.9881411875420394
2015-04-09,2.955457081874384
2015-04-10,3.0200889371935364
2015-04-13,3.081148971021221
2015-04-14,3.084483940063452
2015-04-15,2.9823144287172987
2015-04-16,3.0171665677841655
2015-04-17,3.04096795050287
2015-04-20,2.9717600664244506
2015-04-21,3.0786274484163787
2015-04-22,3.1570011996860545
2015-04-23,3.1815108972114614
2015-04-24,3.1808072314447497
2015-04-27,3.20642965774864
2015-04-28,3.1010095322267297
2015-04-29,3.171574848704694
2015-04-30,3.1642017308245878
2015-05-04,3.19267736922475
2015-05-05,3.082643685318746
2015-05-06,3.0188881080646692
2015-05-07,2.94174443654117
2015-05-08,3.026998114942099
2015-05-11,3.15377010180671
2015-05-12,3.211881965832425
2015-05-13,3.2363174562749677
2015-05-14,3.24120284928192
2015-05-15,3.1865323892912674
2015-05-18,3.236545590777928
2015-05-19,3.333828948858755
2015-05-20,3.3796053647061863
2015-05-21,3.4987091204292056
2015-05-22,3.576306782464103
2015-05-25,3.70091199822145
2015-05-26,3.8148216955433467
2015-05-27,3.8535902431624556
2015-05-28,3.6115332153088855
2015-05-29,3.6528119375089894
2015-06-01,3.871186025737335
2015-06-02,4.032591229634105
2015-06-03,4.07539510278031
2015-06-04,4.090937041411181
2015-06-05,4.176119741370632
2015-06-08,4.159182908636485
2015-06-09,4.160932576038385
2015-06-10,4.251477450476615
2015-06-11,4.301044455162138
2015-06-12,4.379313787506081
2015-06-15,4.340414141953743
2015-06-16,4.148293822965543
2015-06-17,4.242223767076504
2015-06-18,4.131173078180158
2015-06-19,3.8410393836811543
2015-06-23,3.87560455422812
2015-06-24,3.9766782430699754
2015-06-25,3.8124185979808405
2015-06-26,3.4730761175890104
2015-06-29,3.246652056503821
2015-06-30,3.440018403939867
2015-07-01,3.2450744704932717
2015-07-02,3.0321878976042984
2015-07-03,2.8362954954744963
2015-07-06,2.7954460686246705
2015-07-07,2.568699863017996
2015-07-08,2.446188394436892
2015-07-09,2.596900736599601
2015-07-10,2.7593039747368895
2015-07-13,2.9591243304001997
2015-07-14,2.971375877683169
2015-07-15,2.767398531799765
2015-07-16,2.8192019248464
2015-07-17,2.9939443309112903
2015-07-20,3.042306616388272
2015-07-21,3.1077576298977854
2015-07-22,3.1400386417418007
2015-07-23,3.2349670770102312
2015-07-24,3.1843840607565785
2015-07-27,2.903241012388488
2015-07-28,2.829901742797468
2015-07-29,2.9834162786234946
2015-07-30,2.884253597305626
2015-07-31,2.8528489314268963
2015-08-03,2.775287926368695
2015-08-04,2.948391021352476
2015-08-05,2.9144512860552885
2015-08-06,2.904923542102867
2015-08-07,2.995137703734667
2015-08-10,3.1596207931732967
2015-08-11,3.2028843274797634
2015-08-12,3.173519329614276
2015-08-13,3.265169267570204
2015-08-14,3.3018962995159535
2015-08-17,3.4087209965069047
2015-08-18,3.1317991599491246
2015-08-19,3.2106577141782453
2015-08-20,3.095203575340189
2015-08-21,2.9120535039476354
2015-08-24,2.6520231958362652
2015-08-25,2.427273291839898
2015-08-26,2.35729542175853
2015-08-27,2.4705860104433195
2015-08-28,2.636397149403414
2015-08-31,2.52722442375632
2015-09-01,2.3794578399387842
2015-09-02,2.340948226540488
2015-09-07,2.3731698034976225
2015-09-08,2.4876450650116553
2015-09-09,2.5671654004900963
2015-09-10,2.514225382746095
2015-09-11,2.5492847730490804
2015-09-14,2.3687176182854546
2015-09-15,2.235226754132776
2015-09-16,2.4056316481884736
2015-09-17,2.3464321039972673
2015-09-18,2.3710361639987374
2015-09-21,2.451738561228658
2015-09-22,2.475189164340537
2015-09-23,2.430471894123668
2015-09-24,2.4657211518996145
2015-09-25,2.3840216880206557
2015-09-28,2.421219419203391
2015-09-29,2.3703640705743227
2015-09-30,2.3819719930144827
2015-10-08,2.4850495452846046
2015-10-09,2.531676106559384
2015-10-12,2.6324889626664834
2015-10-13,2.6661318762472175
2015-10-14,2.631468950613826
2015-10-15,2.7053412295501285
2015-10-16,2.7546475294827597
2015-10-19,2.751620187581012
2015-10-20,2.7965867968914364
2015-10-21,2.6067249748870744
2015-10-22,2.693521163127862
2015-10-23,2.7674587798079715
2015-10-26,2.7901830571578765
2015-10-27,2.8059909589707392
2015-10-28,2.7429910095617225
2015-10-29,2.7746271388090036
2015-10-30,2.7736505556042848
2015-11-02,2.727948355999615
2015-11-03,2.7196949777515393
2015-11-04,2.8519686248923883
2015-11-05,2.8480027806364783
2015-11-06,2.9191292496523022
2015-11-09,2.9481954154650096
2015-11-10,2.957377129618629
2015-11-11,2.9871801469315558
2015-11-12,2.9799786818333565
2015-11-13,2.927865462038059
2015-11-16,2.9855106524978012
2015-11-17,2.983842680398411
2015-11-18,2.944739275537723
2015-11-19,3.011074143964957
2015-11-20,3.0439949056963043
2015-11-23,3.029381816746211
2015-11-24,3.0441647765766477
2015-11-25,3.091973739833466
2015-11-26,3.0888513938105606
2015-11-27,2.902148148228503
2015-11-30,2.949515691953215
2015-12-01,2.9832100311628253
2015-12-02,2.962526327522505
2015-12-03,3.020782669189987
2015-12-04,2.988436579136961
2015-12-07,3.0181971616237155
2015-12-08,2.9485846488174694
2015-12-09,2.934822886315906
2015-12-10,2.9329436963878965
2015-12-11,2.9431101427954856
2015-12-14,2.995126008839742
2015-12-15,3.019135485518844
2015-12-16,3.0269061156545787
2015-12-17,3.099883586576409
2015-12-18,3.0882627845966693
2015-12-21,3.1374078697675496
2015-12-22,3.160412120991976
2015-12-23,3.137976527942423
2015-12-24,3.114282425200319
2015-12-25,3.1269711595753487
2015-12-28,3.0553240357482943
2015-12-29,3.0840661833782064
2015-12-30,3.1182667516147156
2015-12-31,3.077540261132464
2016-01-04,2.8272192385479187
2016-01-05,2.8024258404050495
2016-01-06,2.868794872803534
2016-01-07,2.634175346460793
2016-01-08,2.6781463808845096
2016-01-11,2.5000434444312534
2016-01-12,2.5119848919144214
2016-01-13,2.4401124546822763
2016-01-14,2.505898551744777
2016-01-15,2.403284333728912
2016-01-18,2.4272182419850497
2016-01-19,2.5079312610822844
2016-01-20,2.4804911404301992
2016-01-21,2.397397237695229
2016-01-22,2.427087724155056
2016-01-25,2.4548735626850933
2016-01-26,2.2825198520702443
2016-01-27,2.260789379403238
2016-01-28,2.1862024824157866
2016-01-29,2.262609341807444
2016-02-01,2.2351473650141656
2016-02-02,2.314234809176671
2016-02-03,2.3423206647988812
2016-02-04,2.3853253203616087
2016-02-05,2.3541934205553687
2016-02-15,2.345313565839853
2016-02-16,2.4285360515395458
2016-02-17,2.446937808288663
2016-02-18,2.4480849320343343
2016-02-19,2.450505339536443
2016-02-22,2.5058185310099934
2016-02-23,2.4959859407967424
2016-02-24,2.5156201068433894
2016-02-25,2.3156198934576953
2016-02-26,2.3338922377732128
2016-02-29,2.229637636789659
2016-03-01,2.2787845625216754
2016-03-02,2.397424458509337
2016-03-03,2.4077235456278516
2016-03-04,2.3444137092890647
2016-03-07,2.3981167870820035
2016-03-08,2.3966770631580028
2016-03-09,2.337992130322771
2016-03-10,2.295606452898726
2016-03-11,2.2891729324684413
2016-03-14,2.357816186201529
2016-03-15,2.3430645256507705
2016-03-16,2.321146070607058
2016-03-17,2.382340842094738
2016-03-18,2.4515512921637046
2016-03-21,2.509465609261452
2016-03-22,2.4934664956629167
2016-03-23,2.510113031431762
2016-03-24,2.476335607365097
2016-03-25,2.5058175901886397
2016-03-28,2.4953277928866053
2016-03-29,2.447093620867907
2016-03-30,2.524508676633859
2016-03-31,2.5321233013322813
2016-04-01,2.5286108678078896
2016-04-05,2.59535400540156
2016-04-06,2.599582954847234
2016-04-07,2.5604046442153883
2016-04-08,2.5382443346894203
2016-04-11,2.5889643807258986
2016-04-12,2.5791408788884755
2016-04-13,2.6165876285268004
2016-04-14,2.636076115493251
2016-04-15,2.630650435332091
2016-04-18,2.5978407501366574
2016-04-19,2.605648233445414
2016-04-20,2.502946489872557
2016-04-21,2.4884757718218817
2016-04-22,2.4971874851679026
2016-04-25,2.4895052720258044
2016-04-26,2.5201774257049108
2016-04-27,2.5145917833701583
2016-04-28,2.5076288168750605
2016-04-29,2.5069419673270046
2016-05-03,2.576118885958579
2016-05-04,2.5797006016581236
2016-05-05,2.588896330681397
2016-05-06,2.4990645770329962
2016-05-09,2.4203996793689595
2016-05-10,2.413784712611602
2016-05-11,2.4166205386341737
2016-05-12,2.4281809323743193
2016-05-13,2.421481117932487
2016-05-16,2.4567752205008806
2016-05-17,2.4465579020346784
2016-05-18,2.3847524400803675
2016-05-19,2.38930208092774
2016-05-20,2.415691631325292
2016-05-23,2.441793274378807
2016-05-24,2.4132927446958186
2016-05-25,2.41349224992477
2016-05-26,2.418122582729562
2016-05-27,2.4239426533176074
2016-05-30,2.420492452121359
2016-05-31,2.508960143405137
2016-06-01,2.5173730868556694
