,O2
2016-07-29,2.721867740224918
2016-08-01,2.687553717719721
2016-08-02,2.720073914668701
2016-08-03,2.7563179832533216
2016-08-04,2.7730087758745445
2016-08-05,2.7741529864710532
2016-08-08,2.8228566495392746
2016-08-09,2.840713482272394
2016-08-10,2.8268973864804514
2016-08-11,2.7823450149693114
2016-08-12,2.828081308160988
2016-08-15,2.897134482167719
2016-08-16,2.9133159553429686
2016-08-17,2.929637029644077
2016-08-18,2.936198658960656
2016-08-19,2.9387025486594056
2016-08-22,2.914552457298901
2016-08-23,2.921513697484647
2016-08-24,2.9088031919435364
2016-08-25,2.889479866821295
2016-08-26,2.900393779228938
2016-08-29,2.9173926059833426
2016-08-30,2.9113924502595885
2016-08-31,2.9283581309986517
2016-09-01,2.8962000917731268
2016-09-02,2.890193107162497
2016-09-05,2.9017207714309636
2016-09-06,2.941852407307024
2016-09-07,2.9435791383669287
2016-09-08,2.9615151896701932
2016-09-09,2.9413979965237624
2016-09-12,2.8660295518779932
2016-09-13,2.893832875105609
2016-09-14,2.8662324076838375
2016-09-19,2.8991412285778253
2016-09-20,2.902323187546745
2016-09-21,2.9056491602039705
2016-09-22,2.9276571064123162
2016-09-23,2.9114453845412758
2016-09-26,2.8553960668381433
2016-09-27,2.880340840784343
2016-09-28,2.878604829819479
2016-09-29,2.885067580241451
2016-09-30,2.9014506769445516
2016-10-10,2.9274513244054896
2016-10-11,2.9390918336757688
2016-10-12,2.9446345645105705
2016-10-13,2.950651503015003
2016-10-14,2.9595491684236777
2016-10-17,2.932223156433023
2016-10-18,2.9777032460117785
2016-10-19,2.973757429156086
2016-10-20,2.9781831784599966
2016-10-21,2.96485529255509
2016-10-24,2.998114094415216
2016-10-25,3.0127776600623637
2016-10-26,2.997343509235938
2016-10-27,2.995287056177112
2016-10-28,2.9801143490915214
2016-10-31,2.9909213499190552
2016-11-01,3.0173059622611613
2016-11-02,2.9951690600676706
2016-11-03,3.0094859513395296
2016-11-04,2.996103565690538
2016-11-07,3.000085991518022
2016-11-08,3.013165863958418
2016-11-09,3.001854646583376
2016-11-10,3.038408165656413
2016-11-11,3.0526309868999255
2016-11-14,3.059813624257685
2016-11-15,3.0628466891767645
2016-11-16,3.058449706752371
2016-11-17,3.065303976117392
2016-11-18,3.0439390088890574
2016-11-21,3.050214902871802
2016-11-22,3.080550156262568
2016-11-23,3.0624730260852844
2016-11-24,3.069735798119811
2016-11-25,3.0840626099603576
2016-11-28,3.097271184404778
2016-11-29,3.078848458982026
2016-11-30,3.0536513953150837
2016-12-01,3.0633585727057815
2016-12-02,3.009499345651907
2016-12-05,2.9819747555996323
2016-12-06,2.987497577439547
2016-12-07,3.0212102102538254
2016-12-08,3.0102527577071774
2016-12-09,3.01566812603323
2016-12-12,2.8845704877830873
2016-12-13,2.9006947728555916
2016-12-14,2.8822691104523983
2016-12-15,2.9068869295707276
2016-12-16,2.925308481805872
2016-12-19,2.930401922599818
2016-12-20,2.9178362200952486
2016-12-21,2.938882097535436
2016-12-22,2.943627664273318
2016-12-23,2.918379533506632
2016-12-26,2.9239602835061262
2016-12-27,2.924579060613047
2016-12-28,2.9108160910067333
2016-12-29,2.9096857520532424
2016-12-30,2.910962051870371
2017-01-03,2.9376451348004595
2017-01-04,2.9684760034451783
2017-01-05,2.9733732908674018
2017-01-06,2.9706766522761394
2017-01-09,2.992789852945938
2017-01-10,2.9823786890993977
2017-01-11,2.9512030261997366
2017-01-12,2.932793198421746
2017-01-13,2.90006621696326
2017-01-16,2.833029070944656
2017-01-17,2.854849825563826
2017-01-18,2.853821951351589
2017-01-19,2.8514026216618844
2017-01-20,2.884144148212658
2017-01-23,2.9018145631719596
2017-01-24,2.9120094144503867
2017-01-25,2.918184458743383
2017-01-26,2.931762249957893
2017-02-03,2.918676526266915
2017-02-06,2.940731591760837
2017-02-07,2.9501156866194607
2017-02-08,2.967064605858975
2017-02-09,2.979674175458587
2017-02-10,2.9887341944412302
2017-02-13,3.007999639218202
2017-02-14,3.0109263529464965
2017-02-15,2.9889062761114222
2017-02-16,3.014893332268404
2017-02-17,2.9873469023631034
2017-02-20,3.0399147211581585
2017-02-21,3.0729306208735623
2017-02-22,3.088254925897584
2017-02-23,3.078809931737897
2017-02-24,3.0744707694804445
2017-02-27,3.0502296641907924
2017-02-28,3.05826196148519
2017-03-01,3.0592492979734773
2017-03-02,3.0437318694238886
2017-03-03,3.047907582685691
2017-03-06,3.086471390935869
2017-03-07,3.0860014166599385
2017-03-08,3.0744914837421162
2017-03-09,3.048045066306098
2017-03-10,3.0572224473945084
2017-03-13,3.081803995349749
2017-03-14,3.0768958451699966
2017-03-15,3.077258524711843
2017-03-16,3.1021058355975772
2017-03-17,3.0714097056587137
2017-03-20,3.07698300917096
2017-03-21,3.0900042853642784
2017-03-22,3.074630483844703
2017-03-23,3.07649976821622
2017-03-24,3.0969061567539713
