left,right,rebalance_date,period,n_obs,spearman_rank_corr
ic_ir,expanding_ridge,2017-08-31,train,473,0.8859852808952705
ic_ir,expanding_ridge,2017-09-29,train,474,0.8834805606279857
ic_ir,expanding_ridge,2017-10-31,train,473,0.8843431609031235
ic_ir,expanding_ridge,2017-11-30,train,464,0.8864120047157187
ic_ir,expanding_ridge,2017-12-29,train,461,0.8846951819778769
ic_ir,expanding_ridge,2018-01-31,train,455,0.8668280813063272
ic_ir,expanding_ridge,2018-02-28,train,457,0.8649893958733188
ic_ir,expanding_ridge,2018-03-30,train,461,0.8947405375868509
ic_ir,expanding_ridge,2018-04-27,train,462,0.8953987800238951
ic_ir,expanding_ridge,2018-05-31,train,460,0.9029839234309776
ic_ir,expanding_ridge,2018-06-29,train,459,0.8870234205308545
ic_ir,expanding_ridge,2018-07-31,train,463,0.8785207542571926
ic_ir,expanding_ridge,2018-08-31,train,473,0.8651916048061953
ic_ir,expanding_ridge,2018-09-28,train,476,0.8677986084368564
ic_ir,expanding_ridge,2018-10-31,train,479,0.875029221663977
ic_ir,expanding_ridge,2018-11-30,train,488,0.908769616480296
ic_ir,expanding_ridge,2018-12-28,train,483,0.8923467263632504
ic_ir,expanding_ridge,2019-01-31,train,487,0.8754421806237199
ic_ir,expanding_ridge,2019-02-28,train,484,0.8686154322047605
ic_ir,expanding_ridge,2019-03-29,train,483,0.8993570678542075
ic_ir,expanding_ridge,2019-04-30,train,482,0.8998033889710291
ic_ir,expanding_ridge,2019-05-31,train,483,0.8977371807321242
ic_ir,expanding_ridge,2019-06-28,train,480,0.9093056113479795
ic_ir,expanding_ridge,2019-07-31,train,484,0.8987275421376795
ic_ir,expanding_ridge,2019-08-30,train,487,0.910367564246132
ic_ir,expanding_ridge,2019-09-30,train,482,0.9046527060569651
ic_ir,expanding_ridge,2019-10-31,train,482,0.8881202297427274
ic_ir,expanding_ridge,2019-11-29,train,481,0.8923573201292555
ic_ir,expanding_ridge,2019-12-31,train,477,0.8824372784431638
ic_ir,expanding_ridge,2020-01-23,train,480,0.8847159305475222
ic_ir,expanding_ridge,2020-02-28,train,477,0.8395657330219473
ic_ir,expanding_ridge,2020-03-31,train,477,0.8927346218694895
ic_ir,expanding_ridge,2020-04-30,train,474,0.8577869139008908
ic_ir,expanding_ridge,2020-05-29,train,476,0.8518844198111494
ic_ir,expanding_ridge,2020-06-30,train,476,0.8583452051807137
ic_ir,expanding_ridge,2020-07-31,train,475,0.8705669148532542
ic_ir,expanding_ridge,2020-08-31,train,476,0.8549888945412345
ic_ir,expanding_ridge,2020-09-30,train,476,0.8582591177299694
ic_ir,expanding_ridge,2020-10-30,train,477,0.8311760460735039
ic_ir,expanding_ridge,2020-11-30,train,477,0.8662890144561253
ic_ir,expanding_ridge,2020-12-31,train,477,0.8639208095252745
ic_ir,expanding_ridge,2021-01-29,valid,475,0.8176517558136637
ic_ir,expanding_ridge,2021-02-26,valid,473,0.8345953961561483
ic_ir,expanding_ridge,2021-03-31,valid,474,0.8667298653390638
ic_ir,expanding_ridge,2021-04-30,valid,474,0.8771266665784005
ic_ir,expanding_ridge,2021-05-31,valid,475,0.8642171636788883
ic_ir,expanding_ridge,2021-06-30,valid,470,0.8277167627018609
ic_ir,expanding_ridge,2021-07-30,valid,473,0.7968176806308319
ic_ir,expanding_ridge,2021-08-31,valid,471,0.8139040981799003
ic_ir,expanding_ridge,2021-09-30,valid,471,0.8702683953087572
ic_ir,expanding_ridge,2021-10-29,valid,472,0.8871673337976868
ic_ir,expanding_ridge,2021-11-30,valid,472,0.8974454666050601
ic_ir,expanding_ridge,2021-12-31,valid,467,0.9144011130176917
ic_ir,expanding_ridge,2022-01-28,valid,465,0.9322363706503144
ic_ir,expanding_ridge,2022-02-28,valid,463,0.9210144107711024
ic_ir,expanding_ridge,2022-03-31,valid,466,0.9246217423245329
ic_ir,expanding_ridge,2022-04-29,valid,463,0.9484590464420125
ic_ir,expanding_ridge,2022-05-31,valid,462,0.9449774487070448
ic_ir,expanding_ridge,2022-06-30,valid,463,0.94219026086056
