source_id,rebalance_date,period,top50_retention,top50_turnover,rank_corr_vs_prev
expanding_ridge,2015-06-30,train,0.46,0.54,0.6780775072316467
expanding_ridge,2015-07-31,train,0.48,0.52,0.5765834199428481
expanding_ridge,2015-08-31,train,0.5,0.5,0.6921288347112164
expanding_ridge,2015-09-30,train,0.7,0.30000000000000004,0.845177645210272
expanding_ridge,2015-10-30,train,0.62,0.38,0.8504713003033146
expanding_ridge,2015-11-30,train,0.72,0.28,0.8289905170824654
expanding_ridge,2015-12-31,train,0.56,0.43999999999999995,0.7645701940418981
expanding_ridge,2016-01-29,train,0.58,0.42000000000000004,0.7807847120901874
expanding_ridge,2016-02-29,train,0.64,0.36,0.8798362727333915
expanding_ridge,2016-03-31,train,0.62,0.38,0.8156562995336776
expanding_ridge,2016-04-29,train,0.46,0.54,0.6931243284713872
expanding_ridge,2016-05-31,train,0.64,0.36,0.7804093469693351
expanding_ridge,2016-06-30,train,0.58,0.42000000000000004,0.8483152321439176
expanding_ridge,2016-07-29,train,0.6,0.4,0.7775989812240641
expanding_ridge,2016-08-31,train,0.44,0.56,0.5929094416030934
expanding_ridge,2016-09-30,train,0.54,0.45999999999999996,0.7266638670679346
expanding_ridge,2016-10-31,train,0.54,0.45999999999999996,0.7829788758584887
expanding_ridge,2016-11-30,train,0.52,0.48,0.6817690103956017
expanding_ridge,2016-12-30,train,0.48,0.52,0.7070490702426767
expanding_ridge,2017-01-26,train,0.72,0.28,0.8507462318382958
expanding_ridge,2017-02-28,train,0.72,0.28,0.8356833644085934
expanding_ridge,2017-03-31,train,0.5,0.5,0.7336482092599391
expanding_ridge,2017-04-28,train,0.3,0.7,0.5511393291365645
expanding_ridge,2017-05-31,train,0.6,0.4,0.7947822062184242
expanding_ridge,2017-06-30,train,0.56,0.43999999999999995,0.8610449011175634
expanding_ridge,2017-07-31,train,0.58,0.42000000000000004,0.7852713233235648
expanding_ridge,2017-08-31,train,0.5,0.5,0.7251132406022153
expanding_ridge,2017-09-29,train,0.64,0.36,0.8605872230953437
expanding_ridge,2017-10-31,train,0.5,0.5,0.7732933715724797
expanding_ridge,2017-11-30,train,0.6,0.4,0.8412288951645102
expanding_ridge,2017-12-29,train,0.46,0.54,0.8494706508491272
expanding_ridge,2018-01-31,train,0.68,0.31999999999999995,0.8226842280457849
expanding_ridge,2018-02-28,train,0.74,0.26,0.889633336122406
expanding_ridge,2018-03-30,train,0.68,0.31999999999999995,0.8094834850471695
expanding_ridge,2018-04-27,train,0.66,0.33999999999999997,0.7165451136575428
expanding_ridge,2018-05-31,train,0.52,0.48,0.7660409298781968
expanding_ridge,2018-06-29,train,0.64,0.36,0.8645055683672881
expanding_ridge,2018-07-31,train,0.66,0.33999999999999997,0.867066091520526
expanding_ridge,2018-08-31,train,0.64,0.36,0.7812559609542579
expanding_ridge,2018-09-28,train,0.74,0.26,0.8873639676695718
expanding_ridge,2018-10-31,train,0.5,0.5,0.8112536647521846
expanding_ridge,2018-11-30,train,0.66,0.33999999999999997,0.8320679205382092
expanding_ridge,2018-12-28,train,0.68,0.31999999999999995,0.8963241564873414
expanding_ridge,2019-01-31,train,0.52,0.48,0.858026154890036
expanding_ridge,2019-02-28,train,0.68,0.31999999999999995,0.8805512755086056
expanding_ridge,2019-03-29,train,0.6,0.4,0.8187701518611633
expanding_ridge,2019-04-30,train,0.4,0.6,0.7145603395408577
expanding_ridge,2019-05-31,train,0.56,0.43999999999999995,0.8618210075216041
expanding_ridge,2019-06-28,train,0.58,0.42000000000000004,0.8946110066376688
expanding_ridge,2019-07-31,train,0.74,0.26,0.877438360004359
expanding_ridge,2019-08-30,train,0.58,0.42000000000000004,0.7589404056219045
expanding_ridge,2019-09-30,train,0.74,0.26,0.8764840481749538
expanding_ridge,2019-10-31,train,0.64,0.36,0.8183161525377249
expanding_ridge,2019-11-29,train,0.7,0.30000000000000004,0.8892311778515718
expanding_ridge,2019-12-31,train,0.72,0.28,0.8895567790078657
expanding_ridge,2020-01-23,train,0.76,0.24,0.9015290052016307
expanding_ridge,2020-02-28,train,0.66,0.33999999999999997,0.8533358675464108
expanding_ridge,2020-03-31,train,0.7,0.30000000000000004,0.8557327914309656
expanding_ridge,2020-04-30,train,0.52,0.48,0.6511294467716624
expanding_ridge,2020-05-29,train,0.76,0.24,0.9123203470307544
expanding_ridge,2020-06-30,train,0.7,0.30000000000000004,0.8565654172212237
expanding_ridge,2020-07-31,train,0.66,0.33999999999999997,0.8850417469419783
expanding_ridge,2020-08-31,train,0.4,0.6,0.6782575135204854
expanding_ridge,2020-09-30,train,0.74,0.26,0.8801612729039978
expanding_ridge,2020-10-30,train,0.54,0.45999999999999996,0.8142565107557401
expanding_ridge,2020-11-30,train,0.58,0.42000000000000004,0.811078886954456
expanding_ridge,2020-12-31,train,0.6,0.4,0.8433243018219804
expanding_ridge,2021-01-29,valid,0.66,0.33999999999999997,0.8388410865275839
expanding_ridge,2021-02-26,valid,0.78,0.21999999999999997,0.9000951511119675
expanding_ridge,2021-03-31,valid,0.48,0.52,0.790407886205004
expanding_ridge,2021-04-30,valid,0.46,0.54,0.5745881065680672
expanding_ridge,2021-05-31,valid,0.68,0.31999999999999995,0.8861228920021086
expanding_ridge,2021-06-30,valid,0.52,0.48,0.8595674178987772
expanding_ridge,2021-07-30,valid,0.62,0.38,0.8495487205095987
expanding_ridge,2021-08-31,valid,0.48,0.52,0.6587943161508538
expanding_ridge,2021-09-30,valid,0.7,0.30000000000000004,0.8408660869064537
expanding_ridge,2021-10-29,valid,0.52,0.48,0.7689066874348163
expanding_ridge,2021-11-30,valid,0.54,0.45999999999999996,0.7818295950515233
expanding_ridge,2021-12-31,valid,0.56,0.43999999999999995,0.8128135212060317
expanding_ridge,2022-01-28,valid,0.7,0.30000000000000004,0.8605088688756588
expanding_ridge,2022-02-28,valid,0.72,0.28,0.854122773336567
expanding_ridge,2022-03-31,valid,0.44,0.56,0.7744972301278211
expanding_ridge,2022-04-29,valid,0.48,0.52,0.6163405719830067
expanding_ridge,2022-05-31,valid,0.68,0.31999999999999995,0.7999493020091604
expanding_ridge,2022-06-30,valid,0.62,0.38,0.8704388026532681
expanding_ridge,2022-07-29,valid,0.7,0.30000000000000004,0.8400609113979756
expanding_ridge,2022-08-31,valid,0.48,0.52,0.7046133276677787
expanding_ridge,2022-09-30,valid,0.68,0.31999999999999995,0.8736288084449969
expanding_ridge,2022-10-31,valid,0.52,0.48,0.7477224115645446
expanding_ridge,2022-11-30,valid,0.64,0.36,0.818602088561377
rolling_48m,2014-03-31,train,,,
rolling_48m,2014-04-30,train,0.34,0.6599999999999999,0.6143952368203708
rolling_48m,2014-05-30,train,0.7,0.30000000000000004,0.8461521263322062
rolling_48m,2014-06-30,train,0.48,0.52,0.7929280308053278
rolling_48m,2014-07-31,train,0.58,0.42000000000000004,0.762822217700281
rolling_48m,2014-08-29,train,0.62,0.38,0.7475268675766981
rolling_48m,2014-09-30,train,0.66,0.33999999999999997,0.818330141393826
rolling_48m,2014-10-31,train,0.54,0.45999999999999996,0.7711420506373886
rolling_48m,2014-11-28,train,0.66,0.33999999999999997,0.769252383102364
rolling_48m,2014-12-31,train,0.44,0.56,0.7566403926323267
rolling_48m,2015-01-30,train,0.62,0.38,0.824407271283164
rolling_48m,2015-02-27,train,0.6,0.4,0.841760494878902
rolling_48m,2015-03-31,train,0.46,0.54,0.6886235717991943
rolling_48m,2015-04-30,train,0.34,0.6599999999999999,0.6086957689711925
rolling_48m,2015-05-29,train,0.64,0.36,0.8382438089454334
rolling_48m,2015-06-30,train,0.42,0.5800000000000001,0.7227595175205781
