source_id,rebalance_date,period,n_columns,n_non_nan,nan_rate,universe_count,valid_universe_overlap_count,valid_universe_overlap_ratio,nonuniverse_valid_count,mean,std,skew,kurt,min,max,p01,p99
ic_ir,2016-07-29,train,1329,476,0.6418359668924003,500,476,0.952,0,-1.8659210497901792e-17,1.0,-0.3872874691906033,0.13334678407104805,-2.9705949041575366,2.5092885589660696,-2.7569687991717657,2.0215554870261756
ic_ir,2016-08-31,train,1329,479,0.6395786305492852,500,479,0.958,0,9.271173483299846e-18,1.0,-0.20149138101822425,0.13857758425475097,-2.674973924897189,2.7672714273660617,-2.674973924897189,2.3011270033583275
ic_ir,2016-09-30,train,1329,470,0.6463506395786306,500,470,0.94,0,-1.8897413185109047e-17,1.0,-0.26772477561761127,0.1809427535716055,-2.6904622675375918,2.7884577218880766,-2.6904622675375918,2.177034342858975
ic_ir,2016-10-31,train,1329,475,0.6425884123401053,500,475,0.95,0,-2.6177890264845796e-17,1.0,-0.3081537544891756,0.1873467862569358,-2.802828001881324,2.3557916579652995,-2.79885892903223,2.202263417383971
ic_ir,2016-11-30,train,1329,466,0.6493604213694507,500,466,0.932,0,-8.576830233155717e-18,1.0,-0.26789488847684345,-0.06672439795579521,-2.815871339307038,2.9946035508812843,-2.4493512514172076,2.0398974990476537
ic_ir,2016-12-30,train,1329,467,0.6486079759217457,500,467,0.934,0,-1.7116928859317188e-17,1.0,-0.39493404717844344,-0.1232396588964253,-2.8355104408395166,2.290167851259836,-2.4292583283775815,1.9904952543479677
ic_ir,2017-01-26,train,1329,468,0.6478555304740407,500,468,0.936,0,-7.591268544445516e-18,1.0,-0.38913136106453106,-0.023357730900500417,-2.901958077423592,2.4332721203409653,-2.5809797114459534,2.0163177813240796
ic_ir,2017-02-28,train,1329,469,0.6471030850263356,500,469,0.938,0,3.78754123539499e-18,1.0,-0.4042952180609657,0.1752652198606759,-2.8522512079153635,2.5831725685470257,-2.730670906525089,2.113415972461516
ic_ir,2017-03-31,train,1329,466,0.6493604213694507,500,466,0.932,0,2.668347183648445e-17,0.9999999999999999,-0.497435149314875,0.11278565979138566,-2.7587479081433526,2.3819813475282494,-2.7587479081433526,1.9619384876377224
ic_ir,2017-04-28,train,1329,467,0.6486079759217457,500,467,0.934,0,-1.5215047874948613e-17,1.0,-0.4774027165385768,0.4632763824934947,-2.960093443608539,3.099754221666904,-2.9409635094998317,1.8954075575135774
ic_ir,2017-05-31,train,1329,471,0.6455981941309256,500,471,0.942,0,0.0,1.0,-0.4752458481136794,0.2557716238099106,-2.9010209382325556,3.0298018439140404,-2.813044023086062,1.871223806683168
ic_ir,2017-06-30,train,1329,472,0.6448457486832204,500,472,0.944,0,0.0,1.0,-0.4136131058746762,-0.02336046980152151,-2.6686930124690598,2.644293535697527,-2.6686930124690598,1.9512826966777184
ic_ir,2017-07-31,train,1329,471,0.6455981941309256,500,471,0.942,0,1.5085833031000004e-17,1.0,-0.3400408221654213,-0.0015632767209026177,-2.6310344574937843,2.894964150049374,-2.5887163107575355,1.9841218690444613
ic_ir,2017-08-31,train,1329,478,0.6403310759969902,500,478,0.956,0,-2.972982157992051e-17,1.0,-0.33063250293991614,0.07363256832999499,-2.7349604493191553,2.5577082416451185,-2.648420147988658,2.0695217508814503
ic_ir,2017-09-29,train,1329,477,0.6410835214446953,500,477,0.954,0,-1.489607412494969e-17,1.0,-0.3681379261626682,0.14070281228252224,-2.7762284539712003,2.997099418849045,-2.6944787699229233,2.093615221430694
ic_ir,2017-10-31,train,1329,477,0.6410835214446953,500,477,0.954,0,-2.979214824989938e-17,1.0,-0.3781340812598695,0.039404485802532196,-2.9341281266337775,2.5371553666805027,-2.6492521922131687,1.922548607080927
ic_ir,2017-11-30,train,1329,468,0.6478555304740407,500,468,0.936,0,2.2773805633336544e-17,1.0,-0.4833491534432922,0.2361577725693058,-2.9571039788965847,2.3512276353317585,-2.860820384350374,2.0087684100347105
