period,industry_code,industry_name,n,ic_mean,ic_ir,t_stat,p_value,pct_positive
2019-2020,801720.SI,建筑装饰,21,0.08928531785674645,0.3365801613641474,1.5424040668716565,0.13865044749471758,0.5714285714285714
2019-2020,801730.SI,电力设备,22,0.0747991612668126,0.32483386365114103,1.523605873393647,0.14252557006021718,0.5909090909090909
2019-2020,801740.SI,国防军工,21,0.0497264640121783,0.21736531463837924,0.9960930077882656,0.3311046377746385,0.6190476190476191
2019-2020,801750.SI,计算机,22,0.03378359937580327,0.19393884303577644,0.9096538058169282,0.37332789176279435,0.6363636363636364
2019-2020,801760.SI,传媒,22,0.11801492873201334,0.5701421181719784,2.6742035764129595,0.014197975850028919,0.6818181818181818
2019-2020,801770.SI,通信,22,0.1195849604940514,0.5829546668329261,2.734299756575773,0.01242601553928191,0.6363636363636364
2019-2020,801880.SI,汽车,22,0.0342698205574078,0.16167311090539715,0.758314107330356,0.4566896985185611,0.6818181818181818
2019-2020,801890.SI,机械设备,22,0.1923636577693162,1.1208525993625962,5.257264696489377,3.273210551489302e-05,0.8636363636363636
2019-2020,801950.SI,煤炭,6,-0.12650246815315586,-0.34119881628614485,-0.8357630007426737,0.44138448418288645,0.5
2021-2022,801010.SI,农林牧渔,22,-0.12094723458359823,-0.3464002402554904,-1.6247611461009746,0.11912882745899671,0.3181818181818182
2021-2022,801030.SI,基础化工,22,-0.0663077511537631,-0.26993807817705984,-1.2661218160581305,0.2193351534719376,0.36363636363636365
2021-2022,801040.SI,钢铁,22,0.0560745257973261,0.23642260857732728,1.1089203292496619,0.28000315646949814,0.5454545454545454
2021-2022,801050.SI,有色金属,22,-0.02783586550259277,-0.11192303029812313,-0.5249655451975119,0.6051057401079523,0.5
2021-2022,801080.SI,电子,22,-0.02417858501363669,-0.10782627701617872,-0.5057500690397715,0.6182997791575852,0.4090909090909091
2021-2022,801120.SI,食品饮料,22,0.029221513780337317,0.12068298585291842,0.5660533787870766,0.5773569929783626,0.5909090909090909
2021-2022,801150.SI,医药生物,22,-0.01327057634126152,-0.08947108725067153,-0.41965659768908686,0.6789984863407146,0.45454545454545453
2021-2022,801160.SI,公用事业,22,-0.07815081116813295,-0.31035850696527084,-1.455710432265176,0.1602605839083126,0.4090909090909091
2021-2022,801170.SI,交通运输,22,-0.06309460216624362,-0.22686539237263015,-1.0640930117431107,0.2993697340624847,0.36363636363636365
2021-2022,801180.SI,房地产,22,0.02569542956831737,0.10981173986800485,0.5150627152905208,0.6118885023734054,0.5454545454545454
2021-2022,801200.SI,商贸零售,11,-0.14205794205794203,-0.43582478620750215,-1.4454672901871437,0.1789261799889709,0.45454545454545453
2021-2022,801710.SI,建筑材料,15,-0.03575757575757576,-0.11282611770327133,-0.4369736748820077,0.6687950496658726,0.4666666666666667
2021-2022,801720.SI,建筑装饰,7,0.16017316017316016,0.5735025884141903,1.5173452251957804,0.1799729614427173,0.7142857142857143
2021-2022,801730.SI,电力设备,22,0.0570745488088762,0.31489183145623906,1.476973608902007,0.15452301335788562,0.5
2021-2022,801740.SI,国防军工,22,0.08735799253793844,0.289745888839042,1.3590286833546903,0.18855547039205434,0.5454545454545454
2021-2022,801750.SI,计算机,22,0.03702826817451324,0.17396540416067685,0.8159700733392912,0.4236765731974458,0.6363636363636364
2021-2022,801760.SI,传媒,22,0.02633441557951586,0.11556760234359029,0.542060103357383,0.5934829669653559,0.5454545454545454
2021-2022,801770.SI,通信,11,-0.20411406775043145,-0.6023107981075638,-1.9976389245022925,0.07367731053406812,0.18181818181818182
2021-2022,801880.SI,汽车,22,0.00589578706311045,0.020120144678082458,0.09437184368800547,0.9257084456421002,0.4090909090909091
2021-2022,801890.SI,机械设备,22,0.07206921045930334,0.27305559743784275,1.2807442775304598,0.21424836041720086,0.5454545454545454
2021-2022,999999.SI,未分类,11,0.036117240291468976,0.10046597979046114,0.333207959160388,0.7458581558493962,0.5454545454545454
